Model,Scenario,Region_Category,Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
GCAM 6.0 NGFS,Fragmented World,R5,Reforming Economies (R5),Price|Carbon,US$2010/t CO2,0,0.5483817738,2.174957163,20.60951746,36.02640562,49.54705367,65.79587483,63.5063349,76.73241477,72.28039492,72.2095298,71.6863417,69.20072575,68.21560992,67.54562875,67.93658009,70.60944959
GCAM 6.0 NGFS,Fragmented World,R5,Latin America (R5),Price|Carbon,US$2010/t CO2,0,0.359574683,1.459985633,53.06983826,94.610527,127.1260928,168.9432531,149.5619772,160.5203991,138.9724823,131.9321594,130.5954173,124.4903054,119.1169567,111.9392561,103.3907342,99.12121177
GCAM 6.0 NGFS,Fragmented World,R5,Middle East & Africa (R5),Price|Carbon,US$2010/t CO2,0,0.6797525073,2.78605364,8.336785087,8.839778431,13.73819036,20.69739135,19.81926945,28.70227903,29.0014831,31.11595795,33.16593698,33.70763841,34.93936732,36.6991703,38.10264423,44.10170675
GCAM 6.0 NGFS,Low demand,R5,OECD & EU (R5),Price|Carbon,US$2010/t CO2,0.380229792,10.93944609,87.38571823,186.6775908,337.4760152,624.8479536,1142.863635,834.2580308,790.5183264,722.0614827,709.4569079,739.3567636,780.0930003,781.5587841,770.3006475,748.5945141,722.6719113
GCAM 6.0 NGFS,Low demand,R5,Asia (R5),Price|Carbon,US$2010/t CO2,2.621289036,11.18513924,91.24381051,158.2855535,256.3165058,588.6920379,1043.573812,884.5838409,859.1922451,775.6917341,752.5383029,774.0358879,827.8066362,854.4791711,857.0039537,841.3800328,810.4287605
GCAM 6.0 NGFS,Low demand,R5,Reforming Economies (R5),Price|Carbon,US$2010/t CO2,1.094910078,16.65254684,97.46153532,206.0577228,337.0379722,580.9096622,1059.237333,872.3115888,813.332972,758.3745895,763.3815543,799.7455243,839.5706416,846.7306418,842.5622375,827.6016408,806.8603995
GCAM 6.0 NGFS,Low demand,R5,Latin America (R5),Price|Carbon,US$2010/t CO2,1.340251625,14.69301908,118.8816767,250.2673346,380.295577,635.4718623,1139.243724,908.1927386,850.3763999,777.1398303,772.1719166,806.6747054,844.1665082,847.7596923,839.5607874,820.6710406,802.8627251
GCAM 6.0 NGFS,Low demand,R5,Middle East & Africa (R5),Price|Carbon,US$2010/t CO2,1.405819928,15.91609412,103.8969828,210.4454385,334.3966515,569.2200719,1037.213277,881.4282743,815.3323574,760.506932,765.50678,803.5501552,843.5336544,852.6735729,850.5730245,836.647228,818.9361097
GCAM 6.0 NGFS,Nationally Determined Contributions (NDCs),R5,OECD & EU (R5),Price|Carbon,US$2010/t CO2,0.01033064083,5.61626124,77.80314183,68.90155957,89.34093067,97.05827666,99.84969077,100.9646306,101.9756909,103.5115079,98.81015732,93.16683253,91.23466764,91.29823833,98.58872833,96.2482696,93.59385493
GCAM 6.0 NGFS,Nationally Determined Contributions (NDCs),R5,Asia (R5),Price|Carbon,US$2010/t CO2,0,4.460014712,9.684010558,17.62157859,21.97256421,25.52338523,32.1821655,38.45582612,47.98625225,58.3942069,68.39858014,76.75689916,67.70252652,83.06198307,94.31971246,103.2975161,108.4761002
GCAM 6.0 NGFS,Nationally Determined Contributions (NDCs),R5,Reforming Economies (R5),Price|Carbon,US$2010/t CO2,0.003854567369,6.049461508,22.68580801,40.4340595,58.84594775,67.75498573,77.04903631,86.40568001,95.29753072,102.0123933,108.8381536,113.0962566,117.6015556,122.8112095,128.8949541,132.0822527,135.3183191
GCAM 6.0 NGFS,Nationally Determined Contributions (NDCs),R5,Latin America (R5),Price|Carbon,US$2010/t CO2,0.0001675187553,4.142803985,69.10231524,75.76474875,80.36862728,80.94644557,84.7923679,95.46830977,103.6377897,104.337355,106.3374817,110.2327822,114.9881118,121.1069873,124.0340392,125.5421487,127.561619
GCAM 6.0 NGFS,Nationally Determined Contributions (NDCs),R5,Middle East & Africa (R5),Price|Carbon,US$2010/t CO2,0,5.18251663,9.811085693,30.73544555,46.95131964,56.35905565,66.81743732,76.60286997,85.59740999,91.61373071,99.03496002,105.7120873,111.760854,117.8687629,122.9282009,128.1842093,134.1922155
